mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
0.21256260956031076,2.379253558479915,0.04022058560277981,0.008423186131682366,-0.5043763871013165,0.004798502204166155,-0.0941030867184033,3.162277660168379e-08
0.20835509334430963,0.2846211257521511,0.04281830766670364,0.008293184907423524,-0.48205040307136665,0.008306719117877013,-0.09410308477568675,3.162277660168379e-08
0.10932477666633464,0.359652898275886,0.045004228031533054,0.009579729835008405,-0.48425873994505103,0.006482392630558254,-0.09410308482887322,3.162277660168379e-08
0.030581205466991983,2.0376205390922326,0.04295658630733503,0.00941565997234209,-0.5509901626487893,0.006622328794038194,-0.09410308937258083,3.162277660168379e-08
0.021881508618069184,1.979477754670818,0.04180823205234151,0.008936683221761051,-0.5119593280363259,0.004378664784069391,-0.09410309347613008,3.162277660168379e-08
0.020748154196050066,0.7118525294716135,0.04078998386194237,0.008516602356263137,-0.4871952600826915,0.00436308732115099,-0.09410309345133,3.162277660168379e-08
0.045454071938137185,0.39314145326065236,0.03699202899960511,0.008709077041331956,-0.4507449314334258,0.003976221879832119,-0.09410309546415153,3.162277660168379e-08
0.013771357631840935,0.18664806376873597,0.02956393011625727,0.009714285667104961,-0.40135184420293385,0.004204899920725262,-0.09410309593563423,3.162277660168379e-08
-0.014779712423027891,3.2212492287812124,0.03734640995230106,0.00986875859718098,-0.37370487240142375,0.0037525403114067758,-0.09410309860129769,3.162277660168379e-08
-0.00622127088038793,2.0323035758144163,0.03791718000295406,0.008618219328314797,-0.4439422399613893,0.0032555568963271914,-0.09410309799494454,3.162277660168379e-08
-0.01974586079697538,2.286982311976778,0.037718254332743714,0.008262418258480682,-0.457698167037221,0.0029889100781056023,-0.09410310248498441,3.162277660168379e-08
0.296431877684758,0.5741403017066425,0.03595152138770528,0.008185105027701707,-0.4638375110679421,0.003792709277449483,-0.09410310443792765,3.162277660168379e-08
0.23183290524827305,1e-06,0.034660263657439586,0.008172713950248364,-0.5220768876392868,0.01044412888625663,-0.09410310571401373,3.162277660168379e-08
-0.001505278723726115,0.18122853850809867,0.04423741264193616,0.008921582418815898,-0.4504732387353949,0.0038948102008676865,-0.09410311087772863,3.162277660168379e-08
-0.00615865194418371,1.125342332651122,0.04249543578758516,0.009246482202715497,-0.5416959989374344,0.007620509971116642,-0.09410310974195124,3.162277660168379e-08
0.20249380906827805,1.8645739328765583,0.04237408990988471,0.00910123305730231,-0.5261719822030062,0.003339062752938295,-0.0941031082634555,3.162277660168379e-08
0.014160880927427549,0.8052975145500031,0.04564990946202625,0.00864106534999935,-0.45841275435502365,0.006047006440848633,-0.09410310513792988,3.162277660168379e-08
0.03651936540812558,0.9912850420090906,0.04643228534451574,0.008418561069621263,-0.4421898127731921,0.007129853455950556,-0.09410310498870704,3.162277660168379e-08
0.016534099446972633,1.4506434101029224,0.04562966334723592,0.008468231441320929,-0.45065191332571086,0.004084889650477525,-0.09410310841960852,3.162277660168379e-08
0.09775121473871444,0.8292473567589248,0.045667441499432,0.0085995010046938,-0.4673173810634718,0.007437449475154993,-0.09410310843011538,3.162277660168379e-08
0.17837818106308653,1.5344431375371728,0.0463760467623024,0.009206530730304516,-0.4646106984022893,0.0039605368470468595,-0.09410311033064518,3.162277660168379e-08
