mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.5734849630113189,0.9960530511181659,0.05691227239089038,0.011573277367178947,-0.13512480062230423,1.3804892774310296e-106,-0.31079269961724515,3.162277660168379e-08
-0.47840349488984407,1.914943318914503,0.05828230102700059,0.011067247226016182,-0.31247897031210925,1.0,-0.3107927090616524,3.162277660168379e-08
-0.3533408666249862,2.101827783013684,0.05872436376707594,0.010454500171941038,-0.1747119005887159,3.6714194068723136e-102,-0.31079271160827127,3.162277660168379e-08
-0.8525718571336076,1e-06,0.04852920219855549,0.011153410841516848,-0.1971146578977153,0.9999999999999999,-0.3107927059309039,3.162277660168379e-08
-0.43866187530725215,1.614394075492655,0.056569451394041716,0.011275514213911776,-0.23506384508175257,1.7586799605658345e-100,-0.31079270250587376,3.162277660168379e-08
-0.4114725379184709,1e-06,0.0569808628314462,0.011060694495356687,-0.3395359029483117,1.0,-0.310792713198191,3.162277660168379e-08
-0.14462491262425559,0.1766583893310153,0.040805190085975544,0.01112621198662652,-0.2339780464393234,1.5153366627117545e-100,-0.3107927196373477,3.162277660168379e-08
-0.28134669463483164,2.650737232373324,0.05249110345815088,0.01199785730292582,-0.2780254158601319,1.0,-0.3107927231185599,3.162277660168379e-08
-0.746246407215477,1e-06,0.04822226885491504,0.010653797181332707,-0.25068377820127363,3.58591351177263e-108,-0.31079272576517336,3.162277660168379e-08
-0.6272376051896332,0.12773478750099998,0.02104171445502077,0.010883949975271081,-0.20839681164829496,1.0,-0.3107927174785345,3.162277660168379e-08
0.22679290573006264,0.6161967965232344,0.046016923955051046,0.011484786312261254,-0.19867172913495834,5.146102710433757e-111,-0.310792720244742,3.162277660168379e-08
-0.46289137947559716,1.811350842189554,0.04808713291119341,0.010443073212139978,-0.2224954344132087,1.0,-0.3107927212851773,3.162277660168379e-08
-0.3197609831647892,2.090732902990881,0.0480793747871597,0.01078581486103956,-0.15304517371796453,3.0152526579527254e-121,-0.3107927214851061,3.162277660168379e-08
-0.24784710067386465,0.5270177210651724,0.05219899799299313,0.010645705714105919,-0.20464278392780666,1.0,-0.31079272078525233,3.162277660168379e-08
-0.9751549193038186,1e-06,0.050584578507367826,0.010466604186884916,-0.1853801346686407,1.0948745594221228e-109,-0.3107927199886321,3.162277660168379e-08
-0.287875476144538,0.4146597951399544,0.04923909056427537,0.011226189257220244,-0.1365662153048114,1.0,-0.31079271945924036,3.162277660168379e-08
-0.44002591708709055,1.5673152618252533,0.05418008541690756,0.011216558781652073,-0.1772910440757314,5.86047902504188e-110,-0.3107927225808404,3.162277660168379e-08
-0.2980533811656192,0.30051168701671005,0.050206180382213444,0.010925960008888012,-0.25628734987903307,1.0,-0.3107927286036558,3.162277660168379e-08
-0.6494812982061186,0.5794579897557888,0.05096707780334734,0.01134285838212329,-0.15400945862115784,2.0114834651358297e-104,-0.31079273033404126,3.162277660168379e-08
-0.591742142940823,1.130078528717433,0.04784506597272182,0.012542214399246332,-0.10733255218626052,1.0,-0.31079273482304925,3.162277660168379e-08
-0.50621863900856,0.7254983476211784,0.04482752472352585,0.011297417251093402,-0.17111501777400387,1.0013043479300902e-109,-0.31079272911382055,3.162277660168379e-08
-0.5129295879276735,1e-06,0.05902833972069829,0.01125580855614394,-0.20450402278589247,0.9999999999999999,-0.31079272654514745,3.162277660168379e-08
-0.3691327600659561,1.1357969217696793,0.03985279887690958,0.011308046036643205,-0.10524539374908203,5.088980964254178e-124,-0.31079272006401776,3.162277660168379e-08
-0.6605077576273006,1.9951128299842003,0.04187284911052977,0.010844394956027091,-0.2345254104591508,0.9999999999999999,-0.31079272228066385,3.162277660168379e-08
-0.2246973551677194,1e-06,0.04093813451606695,0.01075368650114527,-0.14970982798405125,2.408446050875913e-137,-0.3107927211249059,3.162277660168379e-08
-0.48956325629222125,0.06949309235500578,0.06840583789703715,0.011202288749448413,-0.16713768616753663,1.0000000000000002,-0.31079273013873154,3.162277660168379e-08
-0.5941478371434726,1e-06,0.04040459115662474,0.01170925383523888,-0.20205540622671195,1.539287063778029e-118,-0.31079273246056693,3.162277660168379e-08
-0.21451517269377787,0.57946965441116,0.04973729061315152,0.012804534171259378,-0.22938076229436266,1.0,-0.3107927324451611,3.162277660168379e-08
-0.2686256022965897,0.2703392043213235,0.07192589595989281,0.012557104631942036,-0.23510378017735534,2.250804672211926e-113,-0.31079273079860387,3.162277660168379e-08
-0.8744398234794606,0.6644973030610153,0.056297808484223825,0.011732619527430014,-0.24128228757394582,1.0,-0.31079273445284505,3.162277660168379e-08
-0.43354048720599586,1.2619721797845664,0.050042997994002865,0.01120838820956931,-0.08675406829871651,6.593210143177813e-106,-0.3107927303380985,3.162277660168379e-08
-0.15579183433209487,1.1633007204207737,0.048660585643298934,0.010954825807394441,-0.22151808082489763,0.9999999999999999,-0.31079273579296157,3.162277660168379e-08
-0.3027390873379935,4.016867572590164,0.04898831091855474,0.010724247477440134,-0.1950184805727273,1.696690413077583e-109,-0.31079273124913,3.162277660168379e-08
-0.12154550380347397,0.22512086795418298,0.04425918074326798,0.010526912378240313,-0.2505342722201807,1.0,-0.31079272685987724,3.162277660168379e-08
-0.31418121539481647,1.9444953222401513,0.046405078341454034,0.01169515176356837,-0.20720779020182833,3.79176413165677e-113,-0.31079272789861506,3.162277660168379e-08
-0.7959541944835566,1.9018773201139767,0.04468321420270699,0.01084936467407605,-0.3034683222954621,1.0,-0.3107927341428505,3.162277660168379e-08
-0.4097391869647322,2.5476897026460144,0.04407581534657416,0.01040197666101198,-0.22392945892119565,1.7125642692962945e-127,-0.31079272948704845,3.162277660168379e-08
-0.5106933653212578,0.504558818067451,0.055872411825419084,0.010517715629779417,-0.23388444579539425,1.0,-0.31079272655058404,3.162277660168379e-08
-0.5347159284697964,1e-06,0.04387735400612128,0.01076893840516903,-0.14757815934809895,6.741274187007171e-116,-0.31079272846771827,3.162277660168379e-08
-0.3588148334120551,1.863929863996749,0.044952158267721996,0.010714958643355772,-0.2207006316997573,0.9999999999999999,-0.3107927267297929,3.162277660168379e-08
-0.6444330030454619,2.564242554826583,0.044182976985224005,0.010726579943290186,-0.14731285300472574,1.802367673430221e-123,-0.3107927252995396,3.162277660168379e-08
-0.7925331216278664,1e-06,0.045779120925665474,0.010119991001365973,-0.22815213904353016,0.9999999999999998,-0.31079272863093566,3.162277660168379e-08
-0.5219376105536515,2.3327182541725335,0.04290348235965725,0.01135308640192604,-0.18241036026630725,8.489979900623007e-129,-0.31079272570086053,3.162277660168379e-08
-0.21421186371645853,0.6093679875809687,0.05118778204491562,0.010920192250911722,-0.18195245139844718,1.0,-0.31079272392853874,3.162277660168379e-08
0.012901420992079029,1e-06,1e-06,0.01056443894637793,-0.11116651732266258,4.652125881595921e-119,-0.31079272138925523,3.162277660168379e-08
-0.21009709596732476,1.288653919751672,0.04709067797467471,0.01055257509311767,-0.24369349799803858,1.0,-0.3107927169411621,3.162277660168379e-08
-0.7770930671372137,0.8277871961166114,0.046939086534980475,0.010396223960851157,-0.16118018041964793,2.8564904200700434e-116,-0.31079271728683616,3.162277660168379e-08
-0.3783278598803571,0.6502752822117969,0.03826940178217288,0.010212714110432656,-0.2181656615767976,1.0,-0.3107927189700247,3.162277660168379e-08
